x,y
123.577629185,995.116464018
376.898211165,167.064589627
396.885435938,494.665864479
137.363148955,916.751412812
920.088119675,497.4626559
882.528807222,262.876261156
26.6107935351,68.9629838933
97.1661978588,453.929722128
801.264674166,966.82696645
581.728464696,568.706792363
842.604819834,653.443833976
247.744091751,818.799109245
377.922933078,135.184161053
171.639469473,425.325284362
626.849661807,232.222820343
189.662369675,79.033235893
139.888948116,164.977456619
396.52694447,94.1956752112
710.398048069,62.3049807261
418.450413709,698.709883951
261.767569684,139.020690389
606.877553221,674.982059752
356.670322671,400.665215729
699.525297837,710.816779267
965.763521845,911.412293876
454.742062288,83.1596370752
592.974289899,747.854338603
380.529504863,48.6028386304
832.857380872,282.528195259
283.100829482,285.606627151
432.441568701,625.403092687
59.2926783862,629.11736503
11.5260912582,793.979360264
770.735164247,575.141998774
766.180728527,221.538290641
936.300713586,11.7333735994
625.445355161,780.17125887
910.227827256,141.370876665
583.935351715,147.29414854
742.163117003,476.390303409
747.789670043,751.538628258
405.228777771,10.1507521995
714.815826524,820.229990837
280.797875474,314.962914051
591.198842357,12.098651449
214.197320059,442.272688982
958.658623736,614.521509068
224.689373603,451.559226248
580.532466062,718.332346645
443.328320784,425.087051046
293.552568916,737.116839996
406.086360671,677.332098276
335.041643397,781.048561967
127.382546263,405.801593311
801.376871833,380.863945856
299.911396952,421.934982232
707.641362472,870.875201196
970.310253608,988.562441719
512.775630837,583.512801534
356.150435576,112.772751458
881.775994646,370.933885475
663.080381607,316.398192021
131.387548373,227.353604516
528.600257672,662.495532929
906.180732093,631.664229127
835.779643011,660.722089119
511.480559642,203.612457081
286.896635252,313.991182025
529.250639545,263.231220875
910.087070683,757.299587881
764.731944045,51.5786238336
839.200132844,679.300179572
111.740959337,451.204949058
674.892513054,576.732242398
958.415476442,644.15632479
961.531183331,460.894951915
902.860164502,883.5101062
185.58755735,369.227749473
569.230372547,265.05472206
980.201736768,760.53812373
977.554585455,500.326128663
839.401954133,340.87557817
332.796509368,425.137913424
